id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Nigeria,Nigeria,Sub-Saharan Africa,9.081999,8.675277,2670,69063,3,2014.063670411985,2014.2329612093306,0
Somalia,Somalia,Sub-Saharan Africa,5.152149,46.199616,2875,31145,3,2014.336,2014.1593835286562,0
Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,-4.038333,21.758664,493,10368,12,2014.0425963488844,2012.2304205246912,0
Angola,Angola,Sub-Saharan Africa,-11.202692,17.873887,394,10307,1,1992.3527918781726,1995.1324342679734,0
Burundi,Burundi,Sub-Saharan Africa,-3.373056,29.918886,179,8902,5,1998.3854748603353,1996.6971467086048,0
Mozambique,Mozambique,Sub-Saharan Africa,-18.665695,35.529562,292,8586,2,1998.900684931507,1989.93559282553,0
Rwanda,Rwanda,Sub-Saharan Africa,-1.940278,29.873888,63,8354,4,1998.3015873015872,1995.6693799377542,0
Sudan,Sudan,Sub-Saharan Africa,12.862807,30.217636,368,7969,6,2011.6222826086957,2005.73572593801,0
Cameroon,Cameroon,Sub-Saharan Africa,7.369722,12.354722,237,7414,4,2015.350210970464,2015.0225249527919,0
Uganda,Uganda,Sub-Saharan Africa,1.373333,32.290275,213,7313,8,2000.2676056338028,1998.540270750718,0
Central African Republic,Central African Republic,Sub-Saharan Africa,6.611111,20.939444,172,5550,6,2014.593023255814,2015.0196396396398,0
South Africa,South Africa,Sub-Saharan Africa,-30.559482,22.937506,654,4884,4,1986.1957186544344,1988.5872235872237,0
Ethiopia,Ethiopia,Sub-Saharan Africa,9.145,40.489673,50,4707,7,2002.32,1997.4616528574463,0
Kenya,Kenya,Sub-Saharan Africa,0.023559,37.906193,409,4388,2,2014.2640586797065,2013.9653600729262,0
Niger,Niger,Sub-Saharan Africa,17.607789,8.081666,81,3216,4,2013.3456790123457,2015.1119402985075,0
Mali,Mali,Sub-Saharan Africa,17.570692,-3.996166,222,2683,8,2012.972972972973,2011.7267983600445,0
Chad,Chad,Sub-Saharan Africa,15.454166,18.732207,39,2500,5,2013.5897435897436,2009.6776,0
Sierra Leone,Sierra Leone,Sub-Saharan Africa,8.460555,-11.779889,73,2088,3,1996.109589041096,1995.4985632183907,0
Senegal,Senegal,Sub-Saharan Africa,14.497401,-14.452362,79,884,1,2000.1012658227849,1999.2861990950228,0
Djibouti,Djibouti,Sub-Saharan Africa,11.825138,42.590275,7,785,2,1998.5714285714287,1992.777070063694,0
Namibia,Namibia,Sub-Saharan Africa,-22.95764,18.49041,84,616,3,1987.0595238095239,1987.3814935064936,0
Haiti,Haiti,Central America & Caribbean,18.971187,-72.285215,1,390,1,1991.0,1991.0,0
Republic of the Congo,Republic of the Congo,Sub-Saharan Africa,0.228021,15.827659,7,315,2,2001.142857142857,2000.3047619047618,0
Algeria,Algeria,Middle East & North Africa,28.033886,1.659626,5,247,3,2008.0,2012.6194331983806,0
Liberia,Liberia,Sub-Saharan Africa,6.428055,-9.429499,6,198,1,1992.3333333333333,1993.3939393939395,0
Zambia,Zambia,Sub-Saharan Africa,-13.133897,27.849332,28,176,4,1994.0,1989.630681818182,0
Zimbabwe,Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,11,145,2,1987.3636363636363,1988.3999999999999,0
Burkina Faso,Burkina Faso,Sub-Saharan Africa,12.238333,-1.561593,6,111,3,2016.3333333333333,2016.8918918918919,0
Sri Lanka,Sri Lanka,South Asia,7.873054,80.771797,1,47,1,2005.0,2005.0,0
Togo,Togo,Sub-Saharan Africa,8.619543,0.824782,1,39,1,1991.0,1991.0,0
Fiji,Fiji,Australasia & Oceania,-16.578193,179.414413,3,38,2,1994.0,2000.0,0
Indonesia,Indonesia,Southeast Asia,0.789275,113.921327,6,26,2,2005.5,2006.0384615384617,0
Guinea,Guinea,Sub-Saharan Africa,9.945587,-9.696645,3,9,2,1998.6666666666667,1997.3333333333333,0
Tanzania,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,1,9,1,2015.0,2015.0,0
Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,1.650801,10.267895,1,6,1,2009.0,2009.0,0
Swaziland,Swaziland,Sub-Saharan Africa,-26.522503,31.465866,2,3,2,1987.5,1984.0,0
Comoros,Comoros,Sub-Saharan Africa,-11.875001,43.872219,1,3,1,1992.0,1992.0,0
Botswana,Botswana,Sub-Saharan Africa,-22.328474,24.684866,1,1,1,1985.0,1985.0,0
France,France,Western Europe,46.227638,2.213749,1,0,1,1988.0,,0
Peru,Peru,South America,-9.189967,-75.015152,1,0,1,2000.0,,0
United Kingdom,United Kingdom,Western Europe,55.378051,-3.435973,1,0,1,2008.0,,0
Lebanon,Lebanon,Middle East & North Africa,33.854721,35.862285,1,0,1,1984.0,,0
Venezuela,Venezuela,South America,6.42375,-66.58973,1,0,1,1992.0,,0
Libya,Libya,Middle East & North Africa,26.3351,17.228331,4,0,2,2015.5,,0
