id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Iraq,Iraq,Middle East & North Africa,33.223191,43.679291,5910,160494,23,2014.3186125211505,2013.3400127107554,0
Syria,Syria,Middle East & North Africa,34.802075,38.996815,1274,44833,23,2012.616169544741,2013.9532487230388,0
Yemen,Yemen,Middle East & North Africa,15.552727,48.516388,2200,30107,10,2014.2913636363637,2014.3062410735045,0
Turkey,Turkey,Middle East & North Africa,38.963745,35.243322,2514,23939,13,2003.6284805091489,2003.1051840093571,0
Algeria,Algeria,Middle East & North Africa,28.033886,1.659626,1415,18577,11,2000.826855123675,2000.3310006997901,0
Egypt,Egypt,Middle East & North Africa,26.820553,30.802498,966,11198,14,2008.7505175983438,2011.1294874084658,0
Israel,Israel,Middle East & North Africa,31.046051,34.851612,1205,10472,19,1996.3344398340248,1997.1955691367455,0
Lebanon,Lebanon,Middle East & North Africa,33.854721,35.862285,690,8879,21,1993.163768115942,1993.3932875323799,0
Libya,Libya,Middle East & North Africa,26.3351,17.228331,739,5791,11,2015.2043301759134,2015.2738732515975,0
West Bank and Gaza Strip,West Bank and Gaza Strip,Middle East & North Africa,31.4379662528942,34.3827884511328,1359,5385,15,2001.1751287711552,2001.3452181987,0
Iran,Iran,Middle East & North Africa,32.427908,53.688046,123,3351,10,1990.9674796747968,1990.2279916442853,0
Saudi Arabia,Saudi Arabia,Middle East & North Africa,23.885942,45.079162,200,2540,9,2014.42,2006.5259842519686,0
France,France,Western Europe,46.227638,2.213749,65,1411,14,1994.923076923077,2005.8008504606662,0
Mali,Mali,Sub-Saharan Africa,17.570692,-3.996166,101,1171,3,2014.7920792079208,2015.1656703672074,0
Pakistan,Pakistan,South Asia,30.375321,69.345116,48,1073,7,2005.0208333333333,2001.0959925442683,0
Argentina,Argentina,South America,-38.416097,-63.616672,2,801,1,1993.0,1993.2259675405744,0
Greece,Greece,Western Europe,39.074208,21.824312,11,783,7,1984.2727272727273,1980.763729246488,0
Morocco,Morocco,Middle East & North Africa,31.791702,-7.09262,11,720,2,1988.8181818181818,1989.3083333333334,0
Tunisia,Tunisia,Middle East & North Africa,33.886917,9.537499,39,691,7,2010.4358974358975,2013.8379160636757,0
Niger,Niger,Sub-Saharan Africa,17.607789,8.081666,14,579,3,2004.0714285714287,1990.9119170984454,0
Jordan,Jordan,Middle East & North Africa,30.585164,36.238414,27,507,11,1991.0,2006.457593688363,0
