id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
China,China,East Asia,35.86166,104.195397,6,467,1,2011.8333333333333,2013.5867237687366,0
Philippines,Philippines,Southeast Asia,12.879721,121.774017,34,452,2,2013.4705882352941,2014.5508849557523,0
Belgium,Belgium,Western Europe,50.503887,4.469936,15,419,7,1997.9333333333334,2013.8711217183773,0
Kuwait,Kuwait,Middle East & North Africa,29.31166,47.481766,20,409,7,1988.55,2008.4596577017114,0
Spain,Spain,Western Europe,40.463667,-3.74922,13,366,6,1993.1538461538462,2000.0437158469945,0
United States,United States,North America,37.09024,-95.712891,22,360,7,2003.5,2011.8472222222224,0
United Arab Emirates,United Arab Emirates,Middle East & North Africa,23.424076,53.847818,4,339,4,1994.25,1982.9469026548672,0
India,India,South Asia,20.593684,78.96288,48,332,5,2003.5833333333333,2002.686746987952,0
United Kingdom,United Kingdom,Western Europe,55.378051,-3.435973,16,320,9,2004.0,2014.34375,0
Somalia,Somalia,Sub-Saharan Africa,5.152149,46.199616,12,213,4,2005.75,2007.380281690141,0
Bangladesh,Bangladesh,South Asia,23.684994,90.356331,9,207,3,2002.0,1994.6038647342993,0
Russia,Russia,Eastern Europe,61.52401,105.318756,21,199,3,2013.7619047619048,2013.7336683417086,0
Sudan,Sudan,Sub-Saharan Africa,12.862807,30.217636,13,173,1,2015.3846153846155,2014.8554913294797,0
Burkina Faso,Burkina Faso,Sub-Saharan Africa,12.238333,-1.561593,11,163,2,2016.3636363636363,2016.0674846625768,0
Mauritania,Mauritania,Sub-Saharan Africa,21.00789,-10.940835,14,157,3,2000.0,2004.1656050955414,0
Kenya,Kenya,Sub-Saharan Africa,0.023559,37.906193,5,147,3,1991.6,1983.7278911564624,0
Switzerland,Switzerland,Western Europe,46.818188,8.227512,6,142,5,1985.6666666666667,1970.2605633802818,0
Italy,Italy,Western Europe,41.87194,12.56738,7,137,4,1985.5714285714287,1984.85401459854,0
Ivory Coast,Ivory Coast,Sub-Saharan Africa,5.38793258667488,-4.03357621100678,1,99,1,2016.0,2016.0000000000002,0
Afghanistan,Afghanistan,South Asia,33.93911,67.709953,6,98,3,2009.6666666666667,2007.0714285714284,0
Austria,Austria,Western Europe,47.516231,14.550072,14,73,6,1994.0714285714287,1982.0958904109589,0
Central African Republic,Central African Republic,Sub-Saharan Africa,6.611111,20.939444,3,62,1,2016.0,2016.0967741935483,0
Thailand,Thailand,Southeast Asia,15.870032,100.992541,9,61,3,2006.7777777777778,2009.704918032787,0
Bulgaria,Bulgaria,Eastern Europe,42.733883,25.48583,1,51,1,2012.0,2012.0,0
Indonesia,Indonesia,Southeast Asia,0.789275,113.921327,14,45,2,2007.5714285714287,2006.088888888889,0
Germany,Germany,Western Europe,51.165691,10.451526,142,44,5,1995.5633802816901,1999.7272727272727,0
Nigeria,Nigeria,Sub-Saharan Africa,9.081999,8.675277,9,40,3,2014.4444444444443,2014.1750000000002,0
Myanmar,Myanmar,Southeast Asia,21.913965,95.956223,12,27,1,2016.5,2016.4074074074074,0
Tanzania,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,1,24,1,2017.0,2017.0,0
Australia,Australia,Australasia & Oceania,-25.274398,133.775136,3,24,3,2005.3333333333333,2012.625,0
Kazakhstan,Kazakhstan,Central Asia,48.019573,66.923684,1,24,1,2011.0,2011.0,0
Cyprus,Cyprus,Western Europe,35.126413,33.429859,9,24,3,1985.2222222222222,1988.0,0
Bosnia-Herzegovina,Bosnia-Herzegovina,Eastern Europe,43.915886,17.679076,5,20,1,2014.6,2014.9,0
Cameroon,Cameroon,Sub-Saharan Africa,7.369722,12.354722,1,18,1,2017.0,2017.0,0
Kyrgyzstan,Kyrgyzstan,Central Asia,41.20438,74.766098,4,14,2,2007.25,2009.7142857142856,0
Denmark,Denmark,Western Europe,56.26392,9.501785,3,13,2,1987.3333333333333,1985.0,0
Bahrain,Bahrain,Middle East & North Africa,25.930414,50.637772,10,11,4,2011.0,2007.2727272727273,0
Netherlands,Netherlands,Western Europe,52.132633,5.291266,18,9,5,1992.2777777777778,2000.6666666666665,0
Mozambique,Mozambique,Sub-Saharan Africa,-18.665695,35.529562,1,8,1,2017.0,2017.0,0
Malaysia,Malaysia,Southeast Asia,4.210484,101.975766,2,8,2,1999.5,2016.0,0
Ethiopia,Ethiopia,Sub-Saharan Africa,9.145,40.489673,1,7,1,1995.0,1995.0,0
Croatia,Croatia,Eastern Europe,45.1,15.2,1,5,1,1995.0,1995.0,0
Paraguay,Paraguay,South America,-23.442503,-58.443832,1,4,1,1970.0,1970.0,0
Portugal,Portugal,Western Europe,39.399872,-8.224454,1,4,1,1983.0,1983.0,0
Qatar,Qatar,Middle East & North Africa,25.354826,51.183884,1,3,1,1982.0,1982.0,0
Georgia,Georgia,Central Asia,42.315407,43.356892,1,3,1,2016.0,2016.0,0
Western Sahara,Western Sahara,Middle East & North Africa,24.215527,-12.885834,3,3,1,1982.6666666666667,1986.0,0
Norway,Norway,Western Europe,60.472024,8.468946,2,1,2,1986.5,1992.0,0
Finland,Finland,Western Europe,61.92411,25.748151,1,1,1,2008.0,2008.0,0
Canada,Canada,North America,56.130366,-106.346771,2,1,2,2010.0,2016.0,0
Maldives,Maldives,South Asia,3.202778,73.22068,4,0,1,2014.0,,0
South Africa,South Africa,Sub-Saharan Africa,-30.559482,22.937506,1,0,1,2014.0,,0
Ukraine,Ukraine,Eastern Europe,48.379433,31.16558,1,0,1,2016.0,,0
Albania,Albania,Eastern Europe,41.153332,20.168331,1,0,1,2016.0,,0
Sri Lanka,Sri Lanka,South Asia,7.873054,80.771797,6,0,1,1987.0,,0
