id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Bulgaria,Bulgaria,Eastern Europe,42.733883,25.48583,1,3,1,1982.0,1982.0,0
Egypt,Egypt,Middle East & North Africa,26.820553,30.802498,1,3,1,1971.0,1971.0,0
Japan,Japan,East Asia,36.204824,138.252924,1,2,1,1984.0,1984.0,0
Uruguay,Uruguay,South America,-32.522779,-55.765835,7,2,2,1975.142857142857,1994.0,0
Turkmenistan,Turkmenistan,Central Asia,38.969719,59.556278,1,1,1,2002.0,2002.0,0
Kuwait,Kuwait,Middle East & North Africa,29.31166,47.481766,2,1,2,1996.0,2016.0,0
Kyrgyzstan,Kyrgyzstan,Central Asia,41.20438,74.766098,1,1,1,2015.0,2015.0,0
Tanzania,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2,1,2,1991.0,1982.0,0
Hungary,Hungary,Eastern Europe,47.162494,19.503304,1,0,1,1991.0,,0
Brunei,Brunei,Southeast Asia,4.535277,114.727669,5,0,1,1972.0,,0
Jordan,Jordan,Middle East & North Africa,30.585164,36.238414,9,0,1,1971.7777777777778,,0
Yemen,Yemen,Middle East & North Africa,15.552727,48.516388,1,0,1,2011.0,,0
Malaysia,Malaysia,Southeast Asia,4.210484,101.975766,2,0,1,2016.5,,0
Fiji,Fiji,Australasia & Oceania,-16.578193,179.414413,2,0,1,2000.0,,0
Republic of the Congo,Republic of the Congo,Sub-Saharan Africa,0.228021,15.827659,1,0,1,1972.0,,0
